COD_REG,REGIONE,2010,2011,2012,2013,2014,Totale_fallimenti
1,Piemonte,178,226,305,487,344,1540
2,Valle d'Aosta,8,4,13,12,8,45
3,Lombardia,1533,1400,2133,2959,1722,9747
4,Trentino,69,81,137,191,126,604
5,Veneto  ,1023,686,923,1258,711,4601
6,Friuli Venezia Giulia,216,161,250,315,153,1095
7,Liguria ,150,175,256,293,199,1073
8,Emilia Romagna,558,434,652,1051,582,3277
9,Toscana ,221,286,357,515,319,1698
10,Umbria  ,121,92,178,179,132,702
11,Marche  ,308,216,338,467,294,1623
12,Lazio   ,225,299,539,981,601,2645
13,Abruzzo ,105,69,104,119,103,500
14,Molise  ,5,13,10,16,13,57
15,Campania,194,185,276,434,331,1420
16,Puglia  ,146,181,180,264,172,943
17,Basilicata,5,5,5,10,9,34
18,Calabria,106,129,198,255,123,811
19,Sicilia ,140,125,171,241,146,823
20,Sardegna,143,89,176,200,150,758
