COD_PRO;SIGLA_PROV;COD_REG;REGIONE;Fallimenti 2010;Fallimenti 2011;Fallimenti 2012;Fallimenti 2013;Fallimenti 2014;Totale fallimenti
1;TO;1;Piemonte;102;159;194;258;370;1083
2;VC;1;Piemonte;3;5;5;4;3;20
3;NO;1;Piemonte;4;5;5;9;13;36
4;CN;1;Piemonte;32;23;35;69;76;235
5;AT;1;Piemonte;5;4;8;34;21;72
6;AL;1;Piemonte;31;35;61;105;123;355
7;AO;2;Valle d'Aosta;8;4;13;12;16;53
8;IM;7;Liguria ;18;9;10;15;24;76
9;SV;7;Liguria ;18;24;36;46;61;185
10;GE;7;Liguria ;97;124;169;196;214;800
11;SP;7;Liguria ;37;27;57;53;52;226
12;VA;3;Lombardia;85;109;146;229;246;815
13;CO;3;Lombardia;45;63;103;183;145;539
14;SO;3;Lombardia;6;4;6;16;23;55
15;MI;3;Lombardia;772;589;999;1312;1259;4931
16;BG;3;Lombardia;53;41;63;111;150;418
17;BS;3;Lombardia;140;151;234;316;356;1197
18;PV;3;Lombardia;24;50;58;90;112;334
19;CR;3;Lombardia;39;50;51;84;80;304
20;MN;3;Lombardia;93;90;157;168;147;655
21;BZ;4;Trentino;4;33;73;78;73;261
22;TN;4;Trentino;65;51;66;121;141;444
23;VR;5;Veneto  ;46;59;62;109;111;387
24;VI;5;Veneto  ;231;150;247;304;253;1185
25;BL;5;Veneto  ;22;10;16;18;19;85
26;TV;5;Veneto  ;308;162;216;305;313;1304
27;VE;5;Veneto  ;114;55;63;98;133;463
28;PD;5;Veneto  ;257;207;263;346;321;1394
29;RO;5;Veneto  ;48;51;61;84;78;322
30;UD;6;Friuli Venezia Giulia;86;81;107;132;98;504
31;GO;6;Friuli Venezia Giulia;22;20;42;43;31;158
32;TS;6;Friuli Venezia Giulia;6;10;8;30;22;76
33;PC;8;Emilia Romagna;49;52;64;63;53;281
34;PR;8;Emilia Romagna;55;73;111;178;188;605
35;RE;8;Emilia Romagna;63;53;85;132;98;431
36;MO;8;Emilia Romagna;180;108;158;216;215;877
37;BO;8;Emilia Romagna;70;58;80;221;156;585
38;FE;8;Emilia Romagna;5;5;3;6;9;28
39;RA;8;Emilia Romagna;64;45;61;92;64;326
40;FC;8;Emilia Romagna;13;9;23;33;71;149
41;PU;11;Marche  ;39;53;60;109;144;405
