COD_REG;REGIONE;Fallimenti 2010;Fallimenti 2011;Fallimenti 2012;Fallimenti 2013;Fallimenti 2014;Totale fallimenti
1;Piemonte;188;245;325;505;631;1894
2;Valle d'Aosta;8;4;13;12;16;53
3;Lombardia;1596;1474;2165;2984;2903;11122
4;Trentino;69;84;139;199;214;705
5;Veneto  ;1026;694;928;1264;1228;5140
6;Friuli Venezia Giulia;216;162;251;321;260;1210
7;Liguria ;170;184;272;310;351;1287
8;Emilia Romagna;562;438;657;1059;976;3692
9;Toscana ;225;298;368;532;540;1963
10;Umbria  ;123;92;178;179;202;774
11;Marche  ;322;239;368;498;536;1963
12;Lazio   ;242;322;564;1018;1105;3251
13;Abruzzo ;105;71;105;123;151;555
14;Molise  ;5;13;10;16;19;63
15;Campania;196;189;281;439;549;1654
16;Puglia  ;147;182;180;267;282;1058
17;Basilica;5;5;6;10;13;39
18;Calabria;106;130;198;255;229;918
19;Sicilia ;144;140;172;242;238;936
20;Sardegna;145;93;177;201;248;864
